Name,Exp_Mass,Exp_Intensity
,1277.677184,11856
,1278.250762,4295
,1278.671351,9720
,1278.935318,9977
,1279.741336,50570
,1280.178009,10980
,1282.587515,8839
,1282.666046,11942
,1286.685947,2583
,1287.186849,6262
,1290.686185,27895
,1290.85032,5442
,1291.014291,6896
,1291.020493,9328
,1291.191657,5835
,1291.269019,4726
,1292.926114,5732
,1293.339494,6303
,1293.691842,13024
,1293.872682,6856
,1293.954538,4319
,1293.954538,5176
,1294.191936,6146
,1294.565628,11206
,1296.020281,12588
,1296.684833,17603
,1297.189408,10070
,1297.683961,7865
,1298.68949,11684
,1299.197242,5195
,1300.517528,8193
,1301.022406,16084
,1302.529359,6511
,1302.715774,11601
,1302.715774,24330
,1302.838665,16209
,1303.196062,15483
,1304.682678,7386
,1304.701124,6195
,1304.701124,11730
,1304.869089,9599
,1304.94962,8246
,1304.982796,7229
,1305.03747,11856
,1305.280749,5097
,1305.447786,8360
,1306.420131,11442
,1306.863228,7549
,1307.096695,11554
,1307.296969,11800
,1307.680152,6049
,1307.697148,9335
,1307.782218,7364
,1308.197816,6678
,1308.445253,8160
,1309.134748,7470
,1309.269536,11847
,1309.369057,7457
,1309.793442,4480
,1309.868064,6611
,1309.945607,7577
,1309.955165,5603
,1310.029303,6682
,1311.368545,11247
,1311.95181,4877
,1312.539604,27674
,1313.516084,12712
,1313.558778,8971
,1313.621329,16050
,1313.789696,10647
,1313.873446,11398
,1314.036199,26558
,1314.28805,4078
,1314.28805,14091
,1314.373472,18156
,1314.871978,23903
,1315.121054,12908
,1319.203847,20796
,1319.956318,40532
,1321.040414,31901
,1322.956227,7960
,1324.209979,7589
,1325.708772,16354
,1327.20779,11063
,1328.467675,5595
,1328.706353,30717
,1328.966892,6777
,1329.906844,8638
,1330.108046,13013
,1330.209707,11620
,1330.307177,17153
,1330.462209,4483
,1330.506148,16707
,1331.875343,13368
,1332.282723,6675
,1332.461386,12075
,1332.718482,28695
,1332.904831,13260
,1333.22274,17358
,1333.74829,79767
,1333.876427,5328
,1334.710298,3253
,1334.792339,9094
,1335.708944,16578
,1335.962117,16218
,1336.044791,13519
,1336.104911,10271
,1336.461525,23536
,1336.546007,26056
,1336.795844,19732
,1337.630743,12594
,1337.713712,14040
,1338.380148,17370
,1338.876505,6502
,1339.010008,7055
,1339.045775,9853
,1339.293979,11845
,1339.543954,6789
,1340.132124,7914
,1340.396457,6298
,1341.210164,10874
,1341.711177,38340
,1341.911814,21920
,1342.075862,5859
,1342.113627,12501
,1342.252535,5980
,1342.313608,13286
,1342.514139,17273
,1342.809542,5644
,1343.211673,11445
,1343.517591,4711
,1343.709968,7667
,1344.229391,5249
,1344.314144,7264
,1344.699423,4413
,1345.009022,9449
,1347.014729,7450
,1348.711537,17482
,1350.268567,5783
,1350.719521,28882
,1351.741344,4579
,1353.174646,9748
,1353.219133,9622
,1353.536992,6490
,1353.718054,17937
,1354.080867,7151
,1354.441664,8912
,1355.227651,6782
,1355.732897,8554
,1356.534764,5998
,1356.616579,7214
,1357.722742,16663
,1357.907329,6379
,1358.52072,6104
,1359.175702,4609
,1359.706801,5093
,1360.125801,5511
,1360.719266,5596
,1361.096371,6789
,1361.137272,1741
,1361.597035,5019
,1361.723393,13283
,1362.045107,6090
,1363.21719,13730
,1363.595635,8211
,1363.71766,9981
,1365.921456,5375
,1367.722512,11595
,1369.097473,11629
,1369.222447,8880
,1369.719787,7685
,1369.820252,4413
,1369.99631,4366
,1370.100482,5126
,1372.735117,9200
,1375.727558,14763
,1376.230033,8051
,1376.538117,8333
,1379.338596,6643
,1379.540442,11529
,1379.73054,7515
,1379.843849,6722
,1380.606953,4279
,1380.721091,11625
,1380.933485,5881
,1381.846439,4322
,1382.632452,7805
,1382.932114,4048
,1383.648959,20887
,1384.036084,4738
,1384.100706,4328
,1384.462341,6909
,1385.239786,6998
,1385.440857,6315
,1385.766098,9194
,1385.941531,12231
,1386.542086,6785
,1386.730084,8067
,1386.745319,4815
,1386.915419,7747
,1387.037431,13744
,1387.138043,5858
,1387.465065,10017
,1388.542733,8560
,1388.741674,7123
,1389.03242,9174
,1389.374733,6264
,1391.044749,6633
,1391.432602,13755
,1391.634602,12032
,1394.238095,12566
,1396.745873,6236
,1398.98842,11669
,1399.113113,12437
,1400.559657,5326
,1400.836851,8199
,1401.103635,6304
,1401.755055,23287
,1401.929999,7062
,1401.956677,6793
,1402.477079,7326
,1402.66258,6384
,1402.741452,8106
,1404.250294,5501
,1404.835442,4161
,1405.394895,6061
,1405.394895,4519
,1405.90353,4170
,1406.025062,7807
,1408.905789,5769
,1409.836937,5754
,1410.051739,5238
,1410.354925,5877
,1410.756241,13333
,1411.450673,14484
,1412.648067,4997
,1412.956133,8602
,1412.9773,5936
,1413.119109,4900
,1414.449269,5820
,1414.556038,6741
,1415.757514,14082
,1417.666201,4693
,1418.753132,12816
,1418.837429,9133
,1419.004686,6700
,1419.255775,4442
,1419.755614,18013
,1420.056342,5526
,1422.618265,5015
,1422.763219,6303
,1423.158262,4663
,1423.651982,4144
,1424.261817,5775
,1424.309547,5383
,1425.247569,4657
,1426.132277,4918
,1426.669349,5451
,1426.762976,6257
,1426.854702,5958
,1427.122405,5296
,1427.355117,5495
,1427.417628,4737
,1427.495304,4524
,1427.567899,6244
,1427.869828,8989
,1428.029806,8116
,1428.130214,10659
,1428.157528,9623
,1428.312498,7613
,1428.679685,5925
,1428.760481,23937
,1428.861314,12006
,1430.125086,8953
,1430.219961,6899
,1430.313365,6260
,1430.400859,10922
,1430.766733,5075
,1431.096736,5019
,1431.136317,9007
,1431.238526,5665
,1431.646879,4068
,1431.763841,14045
,1431.859525,5738
,1432.376818,11981
,1432.435708,8401
,1432.492768,5435
,1432.558301,5341
,1432.586898,5187
,1432.676713,5976
,1433.016032,7810
,1433.275187,6677
,1433.403463,9622
,1433.490167,12584
,1433.586226,10272
,1433.858532,12146
,1434.20406,8743
,1434.654404,6217
,1434.676411,10920
,1436.951525,15023
,1438.767717,26207
,1444.220115,6037
,1444.264484,6992
,1444.766601,6324
,1444.766601,17370
,1444.949368,5423
,1445.130403,5608
,1446.832553,272204
,1447.661877,7389
,1447.77365,6939
,1449.768559,14294
,1450.780667,10163
,1452.142277,12327
,1452.415248,8157
,1452.499624,6928
,1452.594162,13582
,1453.77817,13883
,1454.68516,6630
,1455.778334,12112
,1457.047349,10185
,1457.134524,11568
,1457.230099,8478
,1457.41174,9832
,1458.77674,15980
,1458.869149,15539
,1458.959224,8605
,1459.142211,11771
,1459.666833,3936
,1460.778426,6964
,1461.793728,7454
,1462.294399,7528
,1462.536622,5551
,1462.774369,6702
,1463.037305,7796
,1465.782577,4377
,1466.285514,6290
,1469.98646,5149
,1470.782343,7952
,1474.768948,8308
,1474.788446,4284
,1476.288859,5371
,1476.788171,21420
,1476.806758,3913
,1476.869158,5947
,1477.783568,8415
,1478.065367,6342
,1480.132537,7202
,1480.232343,5271
,1480.79704,7260
,1481.458381,7830
,1481.616153,5007
,1481.784152,15641
,1486.293629,7200
,1486.58628,4558
,1486.629477,5135
,1486.785946,9515
,1487.483336,4948
,1487.483336,5888
,1488.295062,7054
,1489.99297,4300
,1490.210095,4931
,1492.794412,10058
,1494.791868,5074
,1498.797927,5994
,1499.688099,6577
,1503.784655,4831
,1504.822332,7085
,1504.822332,4116
,1506.798869,4518
,1507.601468,4538
,1508.798615,11092
,1509.298731,5505
,1511.800858,5819
,1511.846398,2664
,1511.846398,2813
,1512.299066,5939
,1515.804378,9053
,1519.810855,4604
,1521.809477,11745
,1523.013303,4858
,1524.808698,10616
,1527.311434,5950
,1527.472121,4053
,1530.819333,8968
,1531.485671,4115
,1534.484213,6152
,1534.82489,8702
,1535.706294,6361
,1536.693903,4839
,1540.82492,6913
,1541.708317,4350
,1542.421818,5381
,1542.823111,5059
,1544.940207,4253
,1545.81609,4648
,1548.826946,5555
,1550.625208,4341
,1557.831132,7700
,1558.629441,4225
,1561.105294,4445
,1561.873928,47871
,1563.839124,8462
,1565.825143,5626
,1568.847266,4294
,1570.844624,10556
,1574.544669,9627
,1576.068383,4124
,1576.741897,5164
,1576.845565,6711
,1576.945885,5685
,1577.144131,4125
,1577.892488,101545
,1578.13902,5549
,1579.64551,6404
,1581.346804,5882
,1582.645094,16550
,1583.44763,28639
,1583.548213,13449
,1583.766049,11951
,1584.346738,21959
,1584.647687,14070
,1587.84878,8495
,1588.345981,4755
,1596.347176,7683
,1598.556394,7286
,1601.555698,5693
,1602.859063,11867
,1602.955829,7106
,1605.35802,6649
,1605.657909,6954
,1605.759102,6808
,1605.858684,9978
,1605.959469,6848
,1607.851294,10301
,1618.860707,5082
,1632.912698,209417
,1649.939025,180061
,1657.887015,10940
,1678.889152,3316
,1707.955644,9953
,1713.911996,2758
,1719.120593,5647
,1720.226933,3468
,1730.918164,6931
,1754.934548,7013
,1760.808874,15061
,1781.940805,8180
,1852.997037,54865
,1869.015761,63328
,1870.019491,11516
,1923.970142,4865
,1924.035028,415600
,1934.125697,165374
,1995.072102,706071
,2011.089885,64086
,2113.136621,5122
,2119.178383,7896
,2121.136596,6147
,2123.131893,70857
,2130.210973,144927
,2139.14721,68497
,2146.197666,9801
,2214.141669,3223
,2238.22203,14608
,2245.236033,170465
,2259.23117,2539
,2261.249011,8795
,2275.211157,12424
,2277.256416,33974
,2288.216578,2667
,2296.262171,12030
,2299.210196,10250
,2301.208053,9809
,2345.272222,9194
,2346.271416,2223
,2347.299501,10234
,2348.261478,17105
,2348.298944,4012
,2349.265429,4200
,2374.284173,348632
,2377.325393,8010
,2391.310513,225631
,2397.202655,7326
,2411.286582,7373
,2414.285042,17065
,2414.311295,9417
,2415.269678,7139
,2421.824814,14301
,2432.318867,511873
,2468.313081,26227
,2473.349564,155325
,2479.308377,12349
,2482.311129,6572
,2483.29105,21284
,2483.316367,4931
,2490.377559,149210
,2517.351428,258339
,2523.323564,8012
,2525.320691,6044
,2526.321467,11003
,2530.369274,102999
,2588.394788,43777
,2662.420193,11563
,2664.421408,40483
,2666.402442,42603
,2667.41401,7988
,2679.437153,27647
,2696.40806,4525
,2716.435473,60221
,2723.43878,47048
,2726.372098,31013
,2733.46304,29146
,2738.494439,9723
,2738.933921,5000
,2793.475549,204265
,2921.56029,278887
,2956.574171,21138
,2978.58337,68194
,2982.359994,4561
,2984.412069,5530
,2993.61058,107104
,3017.615727,21909
,3035.6244,365789
,3095.666921,4239
,3096.671875,4561
,3107.329597,8485
,3113.679841,376779
,3125.651983,235761
,3130.715334,29415
,3141.670791,153940
,3143.67302,2823
,3143.691403,13479
,3148.712106,17266
,3157.873038,7603
,3181.70092,24640
,3225.389555,6701
,3226.715572,6903
,3226.766829,571158
,3262.711663,317013
,3278.730098,108185
,3316.818882,3162
,3339.849808,992062
,3356.874112,17070
,3399.766832,75786
,3415.785127,70036
,3419.89754,16774
,3438.919039,1381764
,3455.947172,72089
,3460.746858,33026
,3460.895344,4036
,3461.001299,2122
,3462.903472,3904
,3468.891904,24322
,3486.821576,74130
,3504.876738,7377
,3519.97991,23811
,3536.51587,8035
,3537.685729,2701
,3537.813725,15725
,3537.843829,6145
,3537.86736,24061
,3537.923949,6704
,3537.988825,1325131
,3538.212433,7785
,3555.012813,112924
,3583.887916,58489
,3584.926258,23318
,3587.919491,19128
,3598.907719,35654
,3599.886379,2566
,3600.922121,7176
,3614.02144,22184
,3672.902526,40904
,3701.045298,117324
,3701.057633,305374
,3723.026019,3564
,3752.989165,12140
,3796.956177,3655
,3798.095761,10835
,3801.985392,134226
,3815.123994,15969
,3901.055821,158843
,3907.544081,10207
,3909.275858,7299
,3929.58112,5697
,3994.116684,14926
,3998.118241,22470
,4000.208249,4167
,4014.135259,21937
,4085.227827,3220
,4095.63533,5269
,4102.264483,32414
,4158.087185,1878
,4209.08043,3932
,4211.226335,143023
,4230.314252,37830
,4252.308403,62135
,4268.258836,61151
,4299.264691,2002
,4299.271281,1706
,4299.285491,3637
,4303.282154,6097
,4342.402964,18664
,4369.393325,170104
,4376.282468,5570
,4381.331809,25393
,4386.417287,77572
,4426.097378,2638
,4440.018574,3559
,4488.474199,10495
,4494.400596,46470
,4504.465899,13700
,4516.461735,267663
,4594.459214,21310
,4632.569962,20333
,4643.021562,3640
,4650.531932,74991
,4663.533015,250654
,4665.782069,2941
,4680.555361,31707
,4694.513664,10287
,4765.590166,86234
,4792.490397,7435
,4792.57546,377291
,4809.595015,107534
,4814.394248,3478
,4814.55516,21347
,4831.613977,16196
,4843.585839,8637
,4844.577762,1493
,4850.588447,16462
,4861.594723,195224
,4879.603706,194632
,4889.751526,14663
,4895.633343,12557
,4897.633605,13358
,4901.58467,23214
,4911.639729,147040
,4912.650257,96324
,4927.653969,24550
,4948.596728,2849
,4970.600702,5974
,4998.681785,17413
,5008.661322,171504
,5026.683495,60368
,5041.697792,35708
,5059.185808,17325
,5059.687306,19634
,5063.68394,3986
,5064.670291,6078
,5065.702779,4470
,5073.698369,5641
,5078.650513,3057
,5083.695181,85838
,5100.753542,9665
,5101.732628,3984
,5104.672092,2279
,5105.808157,28610
,5106.676192,11309
,5153.750319,408855
,5176.696433,120525
,5180.707205,52512
,5198.730088,207542
,5220.703441,174706
,5251.277748,8805
,5252.786545,142291
,5267.749047,17092
,5292.776125,20704
,5311.641612,3200
,5311.729574,42661
,5311.803223,196066
,5316.29566,7292
,5318.651228,3725
,5333.789731,51665
,5335.493378,7536
,5339.496677,28491
,5351.827997,148338
,5362.817341,13794
,5368.853941,21825
,5370.093047,4890
,5378.822149,7099
,5380.823197,57013
,5393.836291,5360
,5397.843115,21023
,5420.823713,34578
,5436.890332,12724
,5437.842183,6292
,5453.867076,14804
,5463.863932,29334
,5465.366345,2105
,5469.9308,2685
,5475.866228,4629
,5481.875459,92198
,5488.893991,23764
,5521.899484,57185
,5539.075535,2583
,5582.421467,4403
,5615.963629,6374
,5618.997402,10672
,5730.052554,20124
,5746.066002,51236
,5774.541613,3052
,5842.140523,6197
,5845.09669,85206
,5861.12001,16288
,5897.086109,4115
,5899.087335,16222
,5915.138066,45479
,5921.08697,11991
,5964.120247,50930
,5974.121247,17150
,6003.016074,2535
,6086.163715,22385
,6087.178306,15253
,6101.180853,57472
,6213.266887,9395
,6214.255628,45490
,6219.23444,7240
,6298.2719,5850
,6316.300471,39812
,6343.312673,4472
,6384.356815,3369
,6414.325219,22942
,6425.320047,14120
